,FORECAST,CI_95_LOWER,CI_95_UPPER
2016-01-01,11.398789914920577,0.0,283.1868020093554
2016-02-01,11.37938326371257,0.0,283.2326270671677
2016-03-01,20.80612536428052,0.0,292.6589692450668
2016-04-01,45.8193936713454,0.0,317.6721907352467
2016-05-01,133.51371106161162,0.0,405.36649654648437
2016-06-01,838.4821495048902,566.6293580039619,1110.3349410058186
2016-07-01,1119.0853261683496,847.2325150090473,1390.938137327652
2016-08-01,763.1263017570056,491.273456353265,1034.9791471607464
2016-09-01,323.4607996333426,51.60790113013036,595.3136981365549
2016-10-01,203.67358178664242,0.0,475.52655935399866
2016-11-01,79.88211450597015,0.0,351.7352069482802
2016-12-01,21.485204032078272,0.0,293.33845121281615
