,FORECAST,CI_95_LOWER,CI_95_UPPER
2016-01-01,4.443078621185613,0.0,87.10274652144511
2016-02-01,6.145733197740292,0.0,88.80565280462133
2016-03-01,16.140209692311878,0.0,98.80011681532105
2016-04-01,50.46642646897751,0.0,133.12632782467543
2016-05-01,91.9950719111695,9.335171143121244,174.65497267921776
2016-06-01,160.21895455889754,77.55905382236246,242.87885529543263
2016-07-01,222.26817537508683,139.60827455153964,304.928076198634
2016-08-01,190.24987927156442,107.58997816187822,272.90978038125064
2016-09-01,148.494676454255,65.83477446204833,231.15457844646167
2016-10-01,137.02098202862925,54.36107733210304,219.68088672515546
2016-11-01,62.21361396647117,0.0,144.87352679578498
2016-12-01,11.684189985148464,0.0,94.34412556638792
