,FORECAST,CI_95_LOWER,CI_95_UPPER
2016-01-01,2.0238489179301897,0.0,73.65922407674971
2016-02-01,1.6791644392133724,0.0,73.3169457838007
2016-03-01,7.15619340811541,0.0,78.79513738838078
2016-04-01,22.85050226998896,0.0,94.49084198267067
2016-05-01,45.999736292359366,0.0,117.64147184503278
2016-06-01,102.87536853206785,31.232237166330677,174.51849989780504
2016-07-01,134.9393485304422,63.29482137883507,206.58387568204932
2016-08-01,123.87079533681207,52.22487242652757,195.51671824709655
2016-09-01,139.113411498641,67.46609285686931,210.7607301404127
2016-10-01,96.30891310799129,24.660198761921947,167.95762745406063
2016-11-01,25.24359618158278,0.0,96.89370620477123
2016-12-01,4.444293684259744,0.0,76.09579930553511
